city,care_quotient,pillar,metric,raw_value,raw_unit,benchmark,score_0_100,source,vintage
cleveland,73.0,Institutional Care,Child Care Capacity Score (0-100),5.51,"licensed child care establishments per 1,000 children under 5","15 per 1,000 children under 5",36.7,"U.S. Census Bureau, County Business Patterns (NAICS 624410)",2022
cleveland,73.0,Institutional Care,FQHC Density Score (0-100),11.27,"Federally Qualified Health Centers per 100,000 residents","15 per 100,000",75.1,HRSA Health Center Service Delivery and Look-Alike Sites,2025/2026
cleveland,73.0,Economic Access to Care,Healthcare Coverage Score (0-100),100.0,ACS-based coverage rate among 0-149% FPL residents (Medicaid/CHIP),100% (note: 31 of 69 cities hit ceiling due to CHIP enrollment above FPL denominator),100.0,"U.S. Census Bureau, ACS 5-year estimates (C27007, C17002)",2022 (2018-2022 pooled)
cleveland,73.0,Economic Access to Care,Housing Affordability Score (0-100),60.65,% of households not spending >30% of income on housing,90% not cost-burdened,67.4,"U.S. Census Bureau, ACS 5-year estimates (B25070, B25091)",2022 (2018-2022 pooled)
cleveland,73.0,Social & Relational Care,Library Density Score (0-100),7.78,"public library outlets per 100,000 residents","5 per 100,000",100.0,IMLS Public Libraries Survey,FY2023
cleveland,73.0,Institutional Care,Nursing Home Capacity Score (0-100),35.23,"Medicare/Medicaid certified beds per 1,000 residents aged 65+","50 per 1,000 residents 65+",70.5,CMS Care Compare — Nursing Home Provider Information,April 2026
cleveland,73.0,Social & Relational Care,Religious Institution Density Score (0-100),80.01,"congregations per 100,000 residents","150 per 100,000",53.3,ARDA U.S. Religion Census,2020
cleveland,73.0,Social & Relational Care,Residential Stability Score (0-100),82.31,% of population in same home 1+ year,95%,86.6,"U.S. Census Bureau, ACS 5-year estimates (B07003)",2022 (2018-2022 pooled)
cleveland,73.0,Economic Access to Care,SNAP Coverage Score (0-100),70.7,estimated SNAP participation rate among likely-eligible households (0-149% FPL),85% (USDA FNS national target),83.2,"U.S. Census Bureau, ACS 5-year estimates (B22001, C17002)",2022 (2018-2022 pooled)
honolulu,73.0,Social & Relational Care,Care Nonprofits Score (0-100),16.47,"organizations per 10,000 residents (NTEE P+E+F+K)","25 per 10,000",65.9,IRS Exempt Organizations Business Master File (EO BMF),April 2026
honolulu,73.0,Institutional Care,Child Care Capacity Score (0-100),2.82,"licensed child care establishments per 1,000 children under 5","15 per 1,000 children under 5",18.8,"U.S. Census Bureau, County Business Patterns (NAICS 624410)",2022
honolulu,73.0,Institutional Care,FQHC Density Score (0-100),15.67,"Federally Qualified Health Centers per 100,000 residents","15 per 100,000",100.0,HRSA Health Center Service Delivery and Look-Alike Sites,2025/2026
honolulu,73.0,Economic Access to Care,Healthcare Coverage Score (0-100),100.0,ACS-based coverage rate among 0-149% FPL residents (Medicaid/CHIP),100% (note: 31 of 69 cities hit ceiling due to CHIP enrollment above FPL denominator),100.0,"U.S. Census Bureau, ACS 5-year estimates (C27007, C17002)",2022 (2018-2022 pooled)
honolulu,73.0,Economic Access to Care,Housing Affordability Score (0-100),58.59,% of households not spending >30% of income on housing,90% not cost-burdened,65.1,"U.S. Census Bureau, ACS 5-year estimates (B25070, B25091)",2022 (2018-2022 pooled)
honolulu,73.0,Social & Relational Care,Library Density Score (0-100),7.12,"public library outlets per 100,000 residents","5 per 100,000",100.0,IMLS Public Libraries Survey,FY2023
honolulu,73.0,Institutional Care,Nursing Home Capacity Score (0-100),14.3,"Medicare/Medicaid certified beds per 1,000 residents aged 65+","50 per 1,000 residents 65+",28.6,CMS Care Compare — Nursing Home Provider Information,April 2026
honolulu,73.0,Social & Relational Care,Religious Institution Density Score (0-100),77.72,"congregations per 100,000 residents","150 per 100,000",51.8,ARDA U.S. Religion Census,2020
honolulu,73.0,Social & Relational Care,Residential Stability Score (0-100),86.27,% of population in same home 1+ year,95%,90.8,"U.S. Census Bureau, ACS 5-year estimates (B07003)",2022 (2018-2022 pooled)
honolulu,73.0,Economic Access to Care,SNAP Coverage Score (0-100),67.72,estimated SNAP participation rate among likely-eligible households (0-149% FPL),85% (USDA FNS national target),79.7,"U.S. Census Bureau, ACS 5-year estimates (B22001, C17002)",2022 (2018-2022 pooled)
rochester,72.1,Social & Relational Care,Care Nonprofits Score (0-100),8.8,"organizations per 10,000 residents (NTEE P+E+F+K)","25 per 10,000",35.2,IRS Exempt Organizations Business Master File (EO BMF),April 2026
rochester,72.1,Institutional Care,Child Care Capacity Score (0-100),4.98,"licensed child care establishments per 1,000 children under 5","15 per 1,000 children under 5",33.2,"U.S. Census Bureau, County Business Patterns (NAICS 624410)",2022
rochester,72.1,Institutional Care,FQHC Density Score (0-100),10.41,"Federally Qualified Health Centers per 100,000 residents","15 per 100,000",69.4,HRSA Health Center Service Delivery and Look-Alike Sites,2025/2026
rochester,72.1,Economic Access to Care,Healthcare Coverage Score (0-100),100.0,ACS-based coverage rate among 0-149% FPL residents (Medicaid/CHIP),100% (note: 31 of 69 cities hit ceiling due to CHIP enrollment above FPL denominator),100.0,"U.S. Census Bureau, ACS 5-year estimates (C27007, C17002)",2022 (2018-2022 pooled)
rochester,72.1,Economic Access to Care,Housing Affordability Score (0-100),58.55,% of households not spending >30% of income on housing,90% not cost-burdened,65.1,"U.S. Census Bureau, ACS 5-year estimates (B25070, B25091)",2022 (2018-2022 pooled)
rochester,72.1,Social & Relational Care,Library Density Score (0-100),4.26,"public library outlets per 100,000 residents","5 per 100,000",85.2,IMLS Public Libraries Survey,FY2023
rochester,72.1,Institutional Care,Nursing Home Capacity Score (0-100),76.71,"Medicare/Medicaid certified beds per 1,000 residents aged 65+","50 per 1,000 residents 65+",100.0,CMS Care Compare — Nursing Home Provider Information,April 2026
rochester,72.1,Social & Relational Care,Religious Institution Density Score (0-100),74.92,"congregations per 100,000 residents","150 per 100,000",49.9,ARDA U.S. Religion Census,2020
rochester,72.1,Social & Relational Care,Residential Stability Score (0-100),82.11,% of population in same home 1+ year,95%,86.4,"U.S. Census Bureau, ACS 5-year estimates (B07003)",2022 (2018-2022 pooled)
rochester,72.1,Economic Access to Care,SNAP Coverage Score (0-100),71.93,estimated SNAP participation rate among likely-eligible households (0-149% FPL),85% (USDA FNS national target),84.6,"U.S. Census Bureau, ACS 5-year estimates (B22001, C17002)",2022 (2018-2022 pooled)
new_orleans,71.6,Social & Relational Care,Care Nonprofits Score (0-100),11.2,"organizations per 10,000 residents (NTEE P+E+F+K)","25 per 10,000",44.8,IRS Exempt Organizations Business Master File (EO BMF),April 2026
new_orleans,71.6,Institutional Care,Child Care Capacity Score (0-100),4.49,"licensed child care establishments per 1,000 children under 5","15 per 1,000 children under 5",29.9,"U.S. Census Bureau, County Business Patterns (NAICS 624410)",2022
new_orleans,71.6,Institutional Care,FQHC Density Score (0-100),19.27,"Federally Qualified Health Centers per 100,000 residents","15 per 100,000",100.0,HRSA Health Center Service Delivery and Look-Alike Sites,2025/2026
new_orleans,71.6,Economic Access to Care,Healthcare Coverage Score (0-100),98.16,ACS-based coverage rate among 0-149% FPL residents (Medicaid/CHIP),100% (note: 31 of 69 cities hit ceiling due to CHIP enrollment above FPL denominator),98.2,"U.S. Census Bureau, ACS 5-year estimates (C27007, C17002)",2022 (2018-2022 pooled)
new_orleans,71.6,Economic Access to Care,Housing Affordability Score (0-100),55.89,% of households not spending >30% of income on housing,90% not cost-burdened,62.1,"U.S. Census Bureau, ACS 5-year estimates (B25070, B25091)",2022 (2018-2022 pooled)
new_orleans,71.6,Social & Relational Care,Library Density Score (0-100),3.91,"public library outlets per 100,000 residents","5 per 100,000",78.2,IMLS Public Libraries Survey,FY2023
new_orleans,71.6,Institutional Care,Nursing Home Capacity Score (0-100),24.58,"Medicare/Medicaid certified beds per 1,000 residents aged 65+","50 per 1,000 residents 65+",49.2,CMS Care Compare — Nursing Home Provider Information,April 2026
new_orleans,71.6,Social & Relational Care,Religious Institution Density Score (0-100),112.24,"congregations per 100,000 residents","150 per 100,000",74.8,ARDA U.S. Religion Census,2020
new_orleans,71.6,Social & Relational Care,Residential Stability Score (0-100),86.83,% of population in same home 1+ year,95%,91.4,"U.S. Census Bureau, ACS 5-year estimates (B07003)",2022 (2018-2022 pooled)
new_orleans,71.6,Economic Access to Care,SNAP Coverage Score (0-100),53.55,estimated SNAP participation rate among likely-eligible households (0-149% FPL),85% (USDA FNS national target),63.0,"U.S. Census Bureau, ACS 5-year estimates (B22001, C17002)",2022 (2018-2022 pooled)
baton_rouge,71.4,Social & Relational Care,Care Nonprofits Score (0-100),9.32,"organizations per 10,000 residents (NTEE P+E+F+K)","25 per 10,000",37.3,IRS Exempt Organizations Business Master File (EO BMF),April 2026
baton_rouge,71.4,Institutional Care,Child Care Capacity Score (0-100),3.58,"licensed child care establishments per 1,000 children under 5","15 per 1,000 children under 5",23.9,"U.S. Census Bureau, County Business Patterns (NAICS 624410)",2022
baton_rouge,71.4,Institutional Care,FQHC Density Score (0-100),12.31,"Federally Qualified Health Centers per 100,000 residents","15 per 100,000",82.1,HRSA Health Center Service Delivery and Look-Alike Sites,2025/2026
baton_rouge,71.4,Economic Access to Care,Healthcare Coverage Score (0-100),89.39,ACS-based coverage rate among 0-149% FPL residents (Medicaid/CHIP),100% (note: 31 of 69 cities hit ceiling due to CHIP enrollment above FPL denominator),89.4,"U.S. Census Bureau, ACS 5-year estimates (C27007, C17002)",2022 (2018-2022 pooled)
baton_rouge,71.4,Economic Access to Care,Housing Affordability Score (0-100),61.63,% of households not spending >30% of income on housing,90% not cost-burdened,68.5,"U.S. Census Bureau, ACS 5-year estimates (B25070, B25091)",2022 (2018-2022 pooled)
baton_rouge,71.4,Social & Relational Care,Library Density Score (0-100),4.39,"public library outlets per 100,000 residents","5 per 100,000",87.8,IMLS Public Libraries Survey,FY2023
baton_rouge,71.4,Institutional Care,Nursing Home Capacity Score (0-100),48.19,"Medicare/Medicaid certified beds per 1,000 residents aged 65+","50 per 1,000 residents 65+",96.4,CMS Care Compare — Nursing Home Provider Information,April 2026
baton_rouge,71.4,Social & Relational Care,Religious Institution Density Score (0-100),116.47,"congregations per 100,000 residents","150 per 100,000",77.6,ARDA U.S. Religion Census,2020
baton_rouge,71.4,Social & Relational Care,Residential Stability Score (0-100),80.14,% of population in same home 1+ year,95%,84.4,"U.S. Census Bureau, ACS 5-year estimates (B07003)",2022 (2018-2022 pooled)
baton_rouge,71.4,Economic Access to Care,SNAP Coverage Score (0-100),52.68,estimated SNAP participation rate among likely-eligible households (0-149% FPL),85% (USDA FNS national target),62.0,"U.S. Census Bureau, ACS 5-year estimates (B22001, C17002)",2022 (2018-2022 pooled)
detroit,70.5,Social & Relational Care,Care Nonprofits Score (0-100),13.58,"organizations per 10,000 residents (NTEE P+E+F+K)","25 per 10,000",54.3,IRS Exempt Organizations Business Master File (EO BMF),April 2026
detroit,70.5,Institutional Care,Child Care Capacity Score (0-100),3.22,"licensed child care establishments per 1,000 children under 5","15 per 1,000 children under 5",21.5,"U.S. Census Bureau, County Business Patterns (NAICS 624410)",2022
detroit,70.5,Institutional Care,FQHC Density Score (0-100),8.54,"Federally Qualified Health Centers per 100,000 residents","15 per 100,000",56.9,HRSA Health Center Service Delivery and Look-Alike Sites,2025/2026
detroit,70.5,Economic Access to Care,Healthcare Coverage Score (0-100),100.0,ACS-based coverage rate among 0-149% FPL residents (Medicaid/CHIP),100% (note: 31 of 69 cities hit ceiling due to CHIP enrollment above FPL denominator),100.0,"U.S. Census Bureau, ACS 5-year estimates (C27007, C17002)",2022 (2018-2022 pooled)
detroit,70.5,Economic Access to Care,Housing Affordability Score (0-100),57.43,% of households not spending >30% of income on housing,90% not cost-burdened,63.8,"U.S. Census Bureau, ACS 5-year estimates (B25070, B25091)",2022 (2018-2022 pooled)
detroit,70.5,Social & Relational Care,Library Density Score (0-100),3.64,"public library outlets per 100,000 residents","5 per 100,000",72.8,IMLS Public Libraries Survey,FY2023
detroit,70.5,Institutional Care,Nursing Home Capacity Score (0-100),34.42,"Medicare/Medicaid certified beds per 1,000 residents aged 65+","50 per 1,000 residents 65+",68.8,CMS Care Compare — Nursing Home Provider Information,April 2026
detroit,70.5,Social & Relational Care,Religious Institution Density Score (0-100),86.2,"congregations per 100,000 residents","150 per 100,000",57.5,ARDA U.S. Religion Census,2020
detroit,70.5,Social & Relational Care,Residential Stability Score (0-100),88.39,% of population in same home 1+ year,95%,93.0,"U.S. Census Bureau, ACS 5-year estimates (B07003)",2022 (2018-2022 pooled)
detroit,70.5,Economic Access to Care,SNAP Coverage Score (0-100),83.26,estimated SNAP participation rate among likely-eligible households (0-149% FPL),85% (USDA FNS national target),98.0,"U.S. Census Bureau, ACS 5-year estimates (B22001, C17002)",2022 (2018-2022 pooled)
st_louis,69.2,Social & Relational Care,Care Nonprofits Score (0-100),12.97,"organizations per 10,000 residents (NTEE P+E+F+K)","25 per 10,000",51.9,IRS Exempt Organizations Business Master File (EO BMF),April 2026
st_louis,69.2,Institutional Care,Child Care Capacity Score (0-100),6.02,"licensed child care establishments per 1,000 children under 5","15 per 1,000 children under 5",40.1,"U.S. Census Bureau, County Business Patterns (NAICS 624410)",2022
st_louis,69.2,Institutional Care,FQHC Density Score (0-100),7.96,"Federally Qualified Health Centers per 100,000 residents","15 per 100,000",53.1,HRSA Health Center Service Delivery and Look-Alike Sites,2025/2026
st_louis,69.2,Economic Access to Care,Healthcare Coverage Score (0-100),73.3,ACS-based coverage rate among 0-149% FPL residents (Medicaid/CHIP),100% (note: 31 of 69 cities hit ceiling due to CHIP enrollment above FPL denominator),73.3,"U.S. Census Bureau, ACS 5-year estimates (C27007, C17002)",2022 (2018-2022 pooled)
st_louis,69.2,Economic Access to Care,Housing Affordability Score (0-100),65.29,% of households not spending >30% of income on housing,90% not cost-burdened,72.5,"U.S. Census Bureau, ACS 5-year estimates (B25070, B25091)",2022 (2018-2022 pooled)
st_louis,69.2,Social & Relational Care,Library Density Score (0-100),4.97,"public library outlets per 100,000 residents","5 per 100,000",99.4,IMLS Public Libraries Survey,FY2023
st_louis,69.2,Institutional Care,Nursing Home Capacity Score (0-100),40.45,"Medicare/Medicaid certified beds per 1,000 residents aged 65+","50 per 1,000 residents 65+",80.9,CMS Care Compare — Nursing Home Provider Information,April 2026
st_louis,69.2,Social & Relational Care,Religious Institution Density Score (0-100),169.44,"congregations per 100,000 residents","150 per 100,000",100.0,ARDA U.S. Religion Census,2020
st_louis,69.2,Social & Relational Care,Residential Stability Score (0-100),84.16,% of population in same home 1+ year,95%,88.6,"U.S. Census Bureau, ACS 5-year estimates (B07003)",2022 (2018-2022 pooled)
st_louis,69.2,Economic Access to Care,SNAP Coverage Score (0-100),60.49,estimated SNAP participation rate among likely-eligible households (0-149% FPL),85% (USDA FNS national target),71.2,"U.S. Census Bureau, ACS 5-year estimates (B22001, C17002)",2022 (2018-2022 pooled)
baltimore,68.6,Social & Relational Care,Care Nonprofits Score (0-100),14.15,"organizations per 10,000 residents (NTEE P+E+F+K)","25 per 10,000",56.6,IRS Exempt Organizations Business Master File (EO BMF),April 2026
baltimore,68.6,Institutional Care,Child Care Capacity Score (0-100),3.59,"licensed child care establishments per 1,000 children under 5","15 per 1,000 children under 5",23.9,"U.S. Census Bureau, County Business Patterns (NAICS 624410)",2022
baltimore,68.6,Institutional Care,FQHC Density Score (0-100),4.61,"Federally Qualified Health Centers per 100,000 residents","15 per 100,000",30.7,HRSA Health Center Service Delivery and Look-Alike Sites,2025/2026
baltimore,68.6,Economic Access to Care,Healthcare Coverage Score (0-100),100.0,ACS-based coverage rate among 0-149% FPL residents (Medicaid/CHIP),100% (note: 31 of 69 cities hit ceiling due to CHIP enrollment above FPL denominator),100.0,"U.S. Census Bureau, ACS 5-year estimates (C27007, C17002)",2022 (2018-2022 pooled)
baltimore,68.6,Economic Access to Care,Housing Affordability Score (0-100),61.26,% of households not spending >30% of income on housing,90% not cost-burdened,68.1,"U.S. Census Bureau, ACS 5-year estimates (B25070, B25091)",2022 (2018-2022 pooled)
baltimore,68.6,Social & Relational Care,Library Density Score (0-100),3.93,"public library outlets per 100,000 residents","5 per 100,000",78.6,IMLS Public Libraries Survey,FY2023
baltimore,68.6,Institutional Care,Nursing Home Capacity Score (0-100),40.37,"Medicare/Medicaid certified beds per 1,000 residents aged 65+","50 per 1,000 residents 65+",80.7,CMS Care Compare — Nursing Home Provider Information,April 2026
baltimore,68.6,Social & Relational Care,Religious Institution Density Score (0-100),123.78,"congregations per 100,000 residents","150 per 100,000",82.5,ARDA U.S. Religion Census,2020
baltimore,68.6,Social & Relational Care,Residential Stability Score (0-100),85.72,% of population in same home 1+ year,95%,90.2,"U.S. Census Bureau, ACS 5-year estimates (B07003)",2022 (2018-2022 pooled)
baltimore,68.6,Economic Access to Care,SNAP Coverage Score (0-100),79.98,estimated SNAP participation rate among likely-eligible households (0-149% FPL),85% (USDA FNS national target),94.1,"U.S. Census Bureau, ACS 5-year estimates (B22001, C17002)",2022 (2018-2022 pooled)
indianapolis,68.5,Social & Relational Care,Care Nonprofits Score (0-100),11.79,"organizations per 10,000 residents (NTEE P+E+F+K)","25 per 10,000",47.2,IRS Exempt Organizations Business Master File (EO BMF),April 2026
indianapolis,68.5,Institutional Care,Child Care Capacity Score (0-100),3.99,"licensed child care establishments per 1,000 children under 5","15 per 1,000 children under 5",26.6,"U.S. Census Bureau, County Business Patterns (NAICS 624410)",2022
indianapolis,68.5,Institutional Care,FQHC Density Score (0-100),8.9,"Federally Qualified Health Centers per 100,000 residents","15 per 100,000",59.3,HRSA Health Center Service Delivery and Look-Alike Sites,2025/2026
indianapolis,68.5,Economic Access to Care,Healthcare Coverage Score (0-100),97.63,ACS-based coverage rate among 0-149% FPL residents (Medicaid/CHIP),100% (note: 31 of 69 cities hit ceiling due to CHIP enrollment above FPL denominator),97.6,"U.S. Census Bureau, ACS 5-year estimates (C27007, C17002)",2022 (2018-2022 pooled)
indianapolis,68.5,Economic Access to Care,Housing Affordability Score (0-100),67.04,% of households not spending >30% of income on housing,90% not cost-burdened,74.5,"U.S. Census Bureau, ACS 5-year estimates (B25070, B25091)",2022 (2018-2022 pooled)
indianapolis,68.5,Social & Relational Care,Library Density Score (0-100),2.82,"public library outlets per 100,000 residents","5 per 100,000",56.4,IMLS Public Libraries Survey,FY2023
indianapolis,68.5,Institutional Care,Nursing Home Capacity Score (0-100),38.98,"Medicare/Medicaid certified beds per 1,000 residents aged 65+","50 per 1,000 residents 65+",78.0,CMS Care Compare — Nursing Home Provider Information,April 2026
indianapolis,68.5,Social & Relational Care,Religious Institution Density Score (0-100),98.34,"congregations per 100,000 residents","150 per 100,000",65.6,ARDA U.S. Religion Census,2020
indianapolis,68.5,Social & Relational Care,Residential Stability Score (0-100),85.35,% of population in same home 1+ year,95%,89.8,"U.S. Census Bureau, ACS 5-year estimates (B07003)",2022 (2018-2022 pooled)
indianapolis,68.5,Economic Access to Care,SNAP Coverage Score (0-100),47.36,estimated SNAP participation rate among likely-eligible households (0-149% FPL),85% (USDA FNS national target),55.7,"U.S. Census Bureau, ACS 5-year estimates (B22001, C17002)",2022 (2018-2022 pooled)
providence,68.3,Social & Relational Care,Care Nonprofits Score (0-100),10.11,"organizations per 10,000 residents (NTEE P+E+F+K)","25 per 10,000",40.4,IRS Exempt Organizations Business Master File (EO BMF),April 2026
providence,68.3,Institutional Care,Child Care Capacity Score (0-100),4.05,"licensed child care establishments per 1,000 children under 5","15 per 1,000 children under 5",27.0,"U.S. Census Bureau, County Business Patterns (NAICS 624410)",2022
providence,68.3,Institutional Care,FQHC Density Score (0-100),5.24,"Federally Qualified Health Centers per 100,000 residents","15 per 100,000",34.9,HRSA Health Center Service Delivery and Look-Alike Sites,2025/2026
providence,68.3,Economic Access to Care,Healthcare Coverage Score (0-100),100.0,ACS-based coverage rate among 0-149% FPL residents (Medicaid/CHIP),100% (note: 31 of 69 cities hit ceiling due to CHIP enrollment above FPL denominator),100.0,"U.S. Census Bureau, ACS 5-year estimates (C27007, C17002)",2022 (2018-2022 pooled)
providence,68.3,Economic Access to Care,Housing Affordability Score (0-100),60.94,% of households not spending >30% of income on housing,90% not cost-burdened,67.7,"U.S. Census Bureau, ACS 5-year estimates (B25070, B25091)",2022 (2018-2022 pooled)
providence,68.3,Social & Relational Care,Library Density Score (0-100),5.76,"public library outlets per 100,000 residents","5 per 100,000",100.0,IMLS Public Libraries Survey,FY2023
providence,68.3,Institutional Care,Nursing Home Capacity Score (0-100),47.35,"Medicare/Medicaid certified beds per 1,000 residents aged 65+","50 per 1,000 residents 65+",94.7,CMS Care Compare — Nursing Home Provider Information,April 2026
providence,68.3,Social & Relational Care,Religious Institution Density Score (0-100),64.62,"congregations per 100,000 residents","150 per 100,000",43.1,ARDA U.S. Religion Census,2020
providence,68.3,Social & Relational Care,Residential Stability Score (0-100),84.72,% of population in same home 1+ year,95%,89.2,"U.S. Census Bureau, ACS 5-year estimates (B07003)",2022 (2018-2022 pooled)
providence,68.3,Economic Access to Care,SNAP Coverage Score (0-100),88.25,estimated SNAP participation rate among likely-eligible households (0-149% FPL),85% (USDA FNS national target),100.0,"U.S. Census Bureau, ACS 5-year estimates (B22001, C17002)",2022 (2018-2022 pooled)
pittsburgh,68.2,Social & Relational Care,Care Nonprofits Score (0-100),16.34,"organizations per 10,000 residents (NTEE P+E+F+K)","25 per 10,000",65.4,IRS Exempt Organizations Business Master File (EO BMF),April 2026
pittsburgh,68.2,Institutional Care,Child Care Capacity Score (0-100),5.8,"licensed child care establishments per 1,000 children under 5","15 per 1,000 children under 5",38.7,"U.S. Census Bureau, County Business Patterns (NAICS 624410)",2022
pittsburgh,68.2,Institutional Care,FQHC Density Score (0-100),6.93,"Federally Qualified Health Centers per 100,000 residents","15 per 100,000",46.2,HRSA Health Center Service Delivery and Look-Alike Sites,2025/2026
pittsburgh,68.2,Economic Access to Care,Healthcare Coverage Score (0-100),78.66,ACS-based coverage rate among 0-149% FPL residents (Medicaid/CHIP),100% (note: 31 of 69 cities hit ceiling due to CHIP enrollment above FPL denominator),78.7,"U.S. Census Bureau, ACS 5-year estimates (C27007, C17002)",2022 (2018-2022 pooled)
pittsburgh,68.2,Economic Access to Care,Housing Affordability Score (0-100),67.68,% of households not spending >30% of income on housing,90% not cost-burdened,75.2,"U.S. Census Bureau, ACS 5-year estimates (B25070, B25091)",2022 (2018-2022 pooled)
pittsburgh,68.2,Social & Relational Care,Library Density Score (0-100),7.92,"public library outlets per 100,000 residents","5 per 100,000",100.0,IMLS Public Libraries Survey,FY2023
pittsburgh,68.2,Institutional Care,Nursing Home Capacity Score (0-100),37.27,"Medicare/Medicaid certified beds per 1,000 residents aged 65+","50 per 1,000 residents 65+",74.5,CMS Care Compare — Nursing Home Provider Information,April 2026
pittsburgh,68.2,Social & Relational Care,Religious Institution Density Score (0-100),90.44,"congregations per 100,000 residents","150 per 100,000",60.3,ARDA U.S. Religion Census,2020
pittsburgh,68.2,Social & Relational Care,Residential Stability Score (0-100),79.19,% of population in same home 1+ year,95%,83.4,"U.S. Census Bureau, ACS 5-year estimates (B07003)",2022 (2018-2022 pooled)
